"PLANTID" "GARDENID" "YEAR" "SEASON" "LEAFNR" "PERCENTDAMAGE"
"194" "ALN_0827" "ALN" 2021 "S3" 23 0.3
"195" "ALN_0922" "ALN" 2021 "S2" 13 0.15
"196" "RAS_1349" "RAS" 2022 "S2" 5 0
"197" "ALN_0693" "ALN" 2022 "S2" 3 0.1
"198" "RAS_1497" "RAS" 2022 "S1" 10 0
"199" "GON_0986" "GON" 2022 "S2" 1 0
"200" "KEV_0221" "KEV" 2022 "S1" 8 0.583333333333333
"201" "RUI_0507" "RUI" 2021 "S2" 20 0.01
"202" "GON_1152" "GON" 2021 "S2" 5 0.01
"203" "RUI_0381" "RUI" 2021 "S2" 22 0.05
"204" "RAS_1366" "RAS" 2021 "S3" 5 0.08
"205" "RUI_0573" "RUI" 2021 "S3" 34 0.05
"206" "GON_1063" "GON" 2021 "S4" 4 0.05
"207" "ALN_0701" "ALN" 2021 "S2" 7 0.1
"208" "ALN_0737" "ALN" 2022 "S1" 8 0
"209" "RAS_1484" "RAS" 2021 "S3" 2 0.09
"210" "ALN_0926" "ALN" 2021 "S2" 4 0.1
"211" "GON_0970" "GON" 2021 "S3" 3 0.01
"212" "GON_1015" "GON" 2021 "S4" 2 0.01
"213" "GON_1125" "GON" 2021 "S4" 4 0.05
"214" "KEV_0318" "KEV" 2021 "S1" 1 1
"215" "RUI_0600" "RUI" 2021 "S2" 4 0.03
"216" "RUI_0448" "RUI" 2021 "S1" 6 0.01
"217" "GON_1116" "GON" 2022 "S2" 2 0
"218" "ALN_0646" "ALN" 2022 "S1" 9 0
"219" "ALN_0898" "ALN" 2021 "S3" 5 0.01
"220" "ALN_0670" "ALN" 2022 "S1" 8 0.1
"221" "ALN_0647" "ALN" 2022 "S1" 9 0
"222" "RUI_0354" "RUI" 2021 "S2" 2 0.01
"223" "KEV_0294" "KEV" 2022 "S2" 4 0
"224" "GON_1145" "GON" 2021 "S3" 1 0.01
"225" "ALN_0722" "ALN" 2021 "S2" 5 0.05
"226" "GON_1162" "GON" 2022 "S2" 2 0
"227" "GON_1144" "GON" 2022 "S2" 1 0
"228" "GON_0993" "GON" 2022 "S1" 4 0
"229" "RUI_0480" "RUI" 2021 "S2" 13 0.2
"230" "ALN_0838" "ALN" 2021 "S3" 21 0.15
"231" "RUI_0637" "RUI" 2021 "S2" 10 0.05
"232" "RAS_1385" "RAS" 2021 "S3" 6 0.1
"233" "ALN_0697" "ALN" 2022 "S2" 3 0.08
"234" "ALN_0726" "ALN" 2021 "S3" 8 0.1
"235" "RUI_0354" "RUI" 2021 "S2" 23 0.03
"236" "ALN_0780" "ALN" 2021 "S3" 3 0.02
"237" "GON_1187" "GON" 2022 "S2" 7 0.08
"238" "RUI_0527" "RUI" 2021 "S3" 46 0.08
"239" "ALN_0648" "ALN" 2022 "S1" 4 0
"240" "RUI_0473" "RUI" 2021 "S2" 5 0.01
"241" "GON_1029" "GON" 2022 "S2" 2 0
"242" "GON_1067" "GON" 2021 "S2" 25 0.25
"243" "RAS_1453" "RAS" 2022 "S1" 3 0
"244" "ALN_0717" "ALN" 2021 "S3" 15 0.15
"245" "KEV_0103" "KEV" 2022 "S2" 3 0
"246" "RAS_1561" "RAS" 2022 "S2" 8 0
"247" "GON_1219" "GON" 2022 "S1" 9 0.01
"248" "ALN_0825" "ALN" 2021 "S3" 16 0.2
"249" "ALN_0919" "ALN" 2021 "S2" 11 0.05
"250" "RAS_1455" "RAS" 2021 "S3" 3 0.05
"251" "ALN_0721" "ALN" 2021 "S2" 9 0.05
"252" "GON_1089" "GON" 2021 "S1" 2 0.01
"253" "ALN_0702" "ALN" 2021 "S3" 4 0.03
"254" "ALN_0721" "ALN" 2021 "S3" 39 0.6
"255" "GON_1009" "GON" 2021 "S4" 3 0.01
"256" "KEV_0229" "KEV" 2022 "S2" 3 0
"257" "RUI_0518" "RUI" 2021 "S2" 8 0.12
"258" "GON_1043" "GON" 2022 "S2" 8 0
"259" "KEV_0200" "KEV" 2021 "S1" 1 0.02
"260" "ALN_0776" "ALN" 2022 "S2" 9 0
"261" "ALN_0660" "ALN" 2021 "S2" 19 0.15
"262" "RUI_0458" "RUI" 2021 "S2" 18 0.03
"263" "KEV_0235" "KEV" 2022 "S2" 9 0
"264" "RUI_0412" "RUI" 2021 "S2" 26 0.05
"265" "RUI_0553" "RUI" 2021 "S3" 5 0.01
"266" "RUI_0429" "RUI" 2021 "S2" 19 0.03
"267" "RUI_0423" "RUI" 2021 "S2" 10 0.15
"268" "RUI_0421" "RUI" 2021 "S1" 1 0.17
"269" "ALN_0739" "ALN" 2021 "S3" 7 0.06
"270" "ALN_0807" "ALN" 2021 "S2" 4 0.1
"271" "ALN_0694" "ALN" 2021 "S3" 30 0.2
"272" "RUI_0590" "RUI" 2021 "S2" 1 0.1
"273" "RUI_0430" "RUI" 2021 "S1" 3 0.01
"274" "ALN_0707" "ALN" 2021 "S3" 13 0.08
"275" "RAS_1562" "RAS" 2021 "S3" 1 0.6
"276" "KEV_0250" "KEV" 2022 "S1" 8 0
"277" "KEV_0118" "KEV" 2022 "S2" 5 0
"278" "RAS_1492" "RAS" 2022 "S2" 3 0
"279" "ALN_0757" "ALN" 2022 "S2" 6 0
"280" "RAS_1395" "RAS" 2021 "S3" 7 0.15
"281" "GON_0982" "GON" 2021 "S2" 3 0.01
"282" "KEV_0006" "KEV" 2022 "S1" 1 0
"283" "ALN_0903" "ALN" 2021 "S3" 13 0.3
"284" "ALN_0741" "ALN" 2021 "S2" 7 0.05
"285" "RUI_0335" "RUI" 2021 "S2" 2 0.01
"286" "RUI_0338" "RUI" 2021 "S3" 25 0.08
"287" "GON_1073" "GON" 2021 "S3" 7 0.0417
"288" "KEV_0116" "KEV" 2022 "S1" 1 0
"289" "KEV_0197" "KEV" 2022 "S2" 1 0.0208333333333333
"290" "RUI_0365" "RUI" 2021 "S2" 11 0.05
"291" "ALN_0897" "ALN" 2021 "S1" 1 0.01
"292" "KEV_0022" "KEV" 2022 "S1" 9 0
"293" "RUI_0460" "RUI" 2021 "S2" 22 0.1
"294" "GON_1052" "GON" 2022 "S2" 8 0.0208333333333333
"295" "ALN_0746" "ALN" 2021 "S3" 14 0.08
"296" "GON_1223" "GON" 2021 "S3" 15 0.0417
"297" "ALN_0745" "ALN" 2021 "S2" 9 0.04
"298" "ALN_0877" "ALN" 2022 "S1" 3 0
"299" "GON_1203" "GON" 2022 "S1" 4 0
"300" "RAS_1475" "RAS" 2022 "S1" 10 0
"301" "RUI_0391" "RUI" 2021 "S2" 15 0.03
"302" "RAS_1337" "RAS" 2022 "S1" 6 0
"303" "ALN_0663" "ALN" 2021 "S2" 2 0.005
"304" "RUI_0581" "RUI" 2021 "S1" 7 0.08
"305" "GON_1279" "GON" 2022 "S1" 10 0.02
"306" "RUI_0344" "RUI" 2021 "S1" 5 0.001
"307" "RUI_0406" "RUI" 2021 "S1" 3 0.01
"308" "GON_1051" "GON" 2021 "S4" 2 0.01
"309" "RAS_1469" "RAS" 2022 "S2" 1 0
"310" "RAS_1292" "RAS" 2021 "S3" 3 0.02
"311" "RAS_1494" "RAS" 2022 "S2" 7 0
"312" "RUI_0507" "RUI" 2021 "S3" 40 0.05
"313" "ALN_0701" "ALN" 2022 "S1" 8 0
"314" "KEV_0295" "KEV" 2021 "S1" 3 0.02
"315" "KEV_0008" "KEV" 2022 "S2" 5 0
"316" "RUI_0338" "RUI" 2021 "S2" 26 0.02
"317" "GON_1223" "GON" 2022 "S2" 1 0
"318" "RAS_1352" "RAS" 2021 "S3" 2 0.04
"319" "GON_1143" "GON" 2021 "S3" 6 0.0417
"320" "ALN_0799" "ALN" 2021 "S3" 13 0.2
"321" "RUI_0631" "RUI" 2021 "S2" 5 0.05
"322" "KEV_0101" "KEV" 2022 "S2" 6 0
"323" "KEV_0247" "KEV" 2022 "S1" 5 0
"324" "GON_1082" "GON" 2021 "S4" 1 0.01
"325" "RAS_1376" "RAS" 2022 "S1" 10 0
"326" "GON_1010" "GON" 2021 "S3" 6 0.01
"327" "ALN_0837" "ALN" 2021 "S2" 6 0.1
"328" "ALN_0666" "ALN" 2021 "S3" 33 0.3
"329" "RUI_0403" "RUI" 2021 "S2" 37 0.01
"330" "KEV_0316" "KEV" 2022 "S1" 5 0
"331" "ALN_0737" "ALN" 2021 "S3" 3 0.08
"332" "KEV_0186" "KEV" 2021 "S2" 3 0.1
"333" "RUI_0344" "RUI" 2021 "S1" 4 0.01
"334" "RUI_0554" "RUI" 2021 "S3" 7 0.01
"335" "RAS_1363" "RAS" 2021 "S3" 2 0.005
"336" "GON_1209" "GON" 2021 "S3" 16 0.01
"337" "ALN_0920" "ALN" 2022 "S1" 10 0
"338" "RAS_1396" "RAS" 2021 "S3" 3 0.02
"339" "ALN_0882" "ALN" 2021 "S3" 12 0.3
"340" "RAS_1531" "RAS" 2021 "S3" 5 0.01
"341" "RUI_0625" "RUI" 2021 "S3" 30 0.025
"342" "RAS_1357" "RAS" 2021 "S3" 3 0.01
"343" "RAS_1518" "RAS" 2022 "S1" 9 0
"344" "RUI_0586" "RUI" 2021 "S2" 13 0.08
"345" "KEV_0094" "KEV" 2022 "S2" 9 0.0208333333333333
"346" "ALN_0737" "ALN" 2021 "S3" 16 0.35
"347" "ALN_0720" "ALN" 2021 "S3" 19 0.15
"348" "RAS_1317" "RAS" 2021 "S2" 3 0.02
"349" "RAS_1552" "RAS" 2022 "S2" 7 0
"350" "RUI_0547" "RUI" 2021 "S2" 9 0.03
"351" "ALN_0952" "ALN" 2021 "S3" 12 0.08
"352" "KEV_0277" "KEV" 2022 "S2" 8 0
"353" "GON_1051" "GON" 2022 "S1" 10 0.01
"354" "ALN_0686" "ALN" 2021 "S3" 13 0.15
"355" "ALN_0719" "ALN" 2021 "S3" 6 0.005
"356" "ALN_0837" "ALN" 2021 "S3" 13 0.05
"357" "ALN_0654" "ALN" 2021 "S3" 51 0.3
"358" "GON_1233" "GON" 2022 "S2" 4 0
"359" "ALN_0921" "ALN" 2021 "S3" 16 0.5
"360" "ALN_0942" "ALN" 2021 "S2" 13 0.05
"361" "KEV_0064" "KEV" 2022 "S1" 2 0
"362" "RUI_0373" "RUI" 2021 "S3" 44 0.05
"363" "RUI_0425" "RUI" 2021 "S1" 12 0.001
"364" "ALN_0954" "ALN" 2021 "S2" 4 0.05
"365" "RUI_0449" "RUI" 2021 "S2" 12 0.03
"366" "RAS_1400" "RAS" 2022 "S1" 7 0
"367" "RUI_0640" "RUI" 2021 "S2" 27 0.01
"368" "KEV_0084" "KEV" 2022 "S1" 6 0
"369" "KEV_0088" "KEV" 2022 "S2" 1 0
"370" "ALN_0647" "ALN" 2022 "S1" 2 0.5
"371" "RUI_0588" "RUI" 2021 "S2" 3 0.01
"372" "RUI_0343" "RUI" 2021 "S2" 4 0.03
"373" "RAS_1567" "RAS" 2021 "S3" 2 0.1
"374" "ALN_0672" "ALN" 2021 "S1" 3 0.2
"375" "RAS_1374" "RAS" 2022 "S2" 10 0
"376" "KEV_0310" "KEV" 2022 "S1" 8 0
"377" "ALN_0900" "ALN" 2022 "S1" 3 0
"378" "GON_1039" "GON" 2022 "S2" 6 0
"379" "ALN_0737" "ALN" 2021 "S1" 1 0.04
"380" "ALN_0731" "ALN" 2022 "S2" 8 0.1
"381" "ALN_0827" "ALN" 2021 "S3" 27 0.5
"382" "RUI_0551" "RUI" 2021 "S1" 7 0.03
"383" "GON_1023" "GON" 2022 "S1" 7 0
"384" "ALN_0699" "ALN" 2021 "S3" 14 0.08
"385" "RUI_0400" "RUI" 2021 "S2" 16 0.05
"386" "KEV_0050" "KEV" 2021 "S1" 4 0.01
"387" "RAS_1557" "RAS" 2021 "S2" 5 0.05
"388" "RUI_0424" "RUI" 2021 "S3" 4 0.01
"389" "RUI_0534" "RUI" 2021 "S2" 4 0.01
"390" "ALN_0856" "ALN" 2021 "S2" 7 0.01
"391" "ALN_0669" "ALN" 2021 "S3" 21 0.15
"392" "ALN_0675" "ALN" 2021 "S3" 33 0.15
"393" "RUI_0425" "RUI" 2021 "S2" 4 0.01
"394" "GON_1206" "GON" 2021 "S3" 6 0.01
"395" "ALN_0922" "ALN" 2021 "S3" 13 0.15
"396" "RAS_1356" "RAS" 2021 "S1" 2 0.01
"397" "RUI_0460" "RUI" 2021 "S2" 1 0.12
"398" "RUI_0623" "RUI" 2021 "S3" 38 0.01
"399" "GON_1087" "GON" 2022 "S1" 5 0
"400" "GON_1019" "GON" 2022 "S1" 6 0
"401" "GON_0980" "GON" 2021 "S4" 3 0.01
"402" "ALN_0751" "ALN" 2021 "S3" 11 0.08
"403" "GON_1227" "GON" 2022 "S2" 2 0
"404" "GON_1189" "GON" 2022 "S1" 8 0
"405" "GON_1140" "GON" 2022 "S2" 3 0
"406" "GON_1212" "GON" 2022 "S1" 2 0
"407" "ALN_0925" "ALN" 2021 "S2" 9 0.18
"408" "ALN_0926" "ALN" 2022 "S2" 3 0.9
"409" "ALN_0956" "ALN" 2021 "S3" 6 0.08
"410" "RAS_1377" "RAS" 2022 "S2" 2 0
"411" "RAS_1549" "RAS" 2021 "S3" 3 0.005
"412" "ALN_0759" "ALN" 2022 "S1" 6 0
"413" "ALN_0853" "ALN" 2022 "S1" 1 0
"414" "GON_1043" "GON" 2021 "S3" 9 0.0417
"415" "GON_1016" "GON" 2021 "S3" 15 0.3333
"416" "KEV_0319" "KEV" 2022 "S1" 10 0
"417" "RAS_1543" "RAS" 2021 "S3" 5 0.02
"418" "ALN_0703" "ALN" 2021 "S3" 16 0.6
"419" "RUI_0385" "RUI" 2021 "S1" 2 0.001
"420" "RAS_1557" "RAS" 2022 "S1" 1 0
"421" "ALN_0703" "ALN" 2021 "S3" 6 0.3
"422" "RAS_1429" "RAS" 2022 "S2" 5 0
"423" "ALN_0906" "ALN" 2021 "S3" 37 0.2
"424" "GON_1048" "GON" 2022 "S1" 8 0
"425" "RUI_0576" "RUI" 2021 "S2" 13 0.05
"426" "ALN_0703" "ALN" 2021 "S3" 1 0.16
"427" "RAS_1373" "RAS" 2022 "S1" 9 0
"428" "ALN_0743" "ALN" 2021 "S3" 15 0.16
"429" "ALN_0776" "ALN" 2022 "S1" 2 0
"430" "KEV_0032" "KEV" 2022 "S1" 1 0
"431" "KEV_0272" "KEV" 2022 "S2" 8 0
"432" "ALN_0808" "ALN" 2021 "S3" 3 0.04
"433" "RAS_1571" "RAS" 2022 "S2" 2 0
"434" "RAS_1355" "RAS" 2022 "S2" 1 0.2
"435" "RUI_0527" "RUI" 2021 "S2" 30 0.02
"436" "GON_0969" "GON" 2021 "S3" 14 0.3333
"437" "RUI_0446" "RUI" 2021 "S3" 39 0.05
"438" "ALN_0694" "ALN" 2021 "S3" 22 0.15
"439" "RUI_0459" "RUI" 2021 "S3" 12 0.025
"440" "ALN_0912" "ALN" 2021 "S1" 5 0.08
"441" "ALN_0748" "ALN" 2021 "S3" 1 0.04
"442" "ALN_0919" "ALN" 2022 "S1" 6 1
"443" "KEV_0092" "KEV" 2022 "S2" 1 0
"444" "ALN_0653" "ALN" 2022 "S1" 3 0
"445" "ALN_0903" "ALN" 2021 "S3" 20 0.4
"446" "ALN_0661" "ALN" 2021 "S3" 18 0.15
"447" "RUI_0329" "RUI" 2021 "S3" 38 0.02
"448" "RUI_0438" "RUI" 2021 "S2" 27 0.01
"449" "ALN_0793" "ALN" 2022 "S1" 5 0
"450" "ALN_0659" "ALN" 2021 "S3" 31 0.1
"451" "ALN_0680" "ALN" 2021 "S1" 3 0.04
"452" "GON_0994" "GON" 2021 "S3" 1 0.01
"453" "RUI_0553" "RUI" 2021 "S2" 26 0.05
"454" "ALN_0943" "ALN" 2021 "S3" 11 0.3
"455" "RAS_1364" "RAS" 2022 "S1" 5 0
"456" "RUI_0582" "RUI" 2021 "S2" 29 0.25
"457" "RAS_1439" "RAS" 2022 "S1" 7 0
"458" "RUI_0347" "RUI" 2021 "S2" 13 0.03
"459" "ALN_0849" "ALN" 2022 "S1" 8 0
"460" "ALN_0942" "ALN" 2021 "S3" 11 0.08
"461" "RUI_0590" "RUI" 2021 "S1" 5 0.01
